phase,model,metrics_used,precision,recall,f1
CV,XGBoost,"language_metric,synonym_metric",0.6013325930038868,0.906276150627615,0.7229639519359146
CV,LightGBM,"language_metric,synonym_metric",0.6015801354401806,0.8920502092050209,0.7185709470845972
CV,Neural Net,"language_metric,synonym_metric",0.7537796976241901,0.2920502092050209,0.4209891435464415
Test,Logistic Regression,"language_metric,synonym_metric",0.4003322259136213,0.8060200668896321,0.5349611542730299
Test,Random Forest,"language_metric,synonym_metric",0.6804878048780488,0.9331103678929766,0.7870239774330042
Test,XGBoost,"language_metric,synonym_metric",0.5908096280087527,0.903010033444816,0.7142857142857143
Test,LightGBM,"language_metric,synonym_metric",0.6048034934497817,0.9264214046822743,0.7318361955085865
Test,Neural Net,"language_metric,synonym_metric",0.8275862068965517,0.2408026755852843,0.37305699481865284
CV,Logistic Regression,"language_metric,keywords_metric",0.40666362391602007,0.7456066945606694,0.5262847017129356
CV,Random Forest,"language_metric,keywords_metric",0.3870192307692308,0.40418410041841,0.3954154727793696
CV,XGBoost,"language_metric,keywords_metric",0.39297272306981046,0.7112970711297071,0.5062537224538416
CV,LightGBM,"language_metric,keywords_metric",0.4,0.7564853556485356,0.5232995658465991
CV,Neural Net,"language_metric,keywords_metric",0.6170212765957447,0.24267782426778242,0.3483483483483483
Test,Logistic Regression,"language_metric,keywords_metric",0.41825095057034223,0.7357859531772575,0.5333333333333333
Test,Random Forest,"language_metric,keywords_metric",0.3724137931034483,0.3612040133779264,0.366723259762309
Test,XGBoost,"language_metric,keywords_metric",0.40441176470588236,0.7357859531772575,0.5219454329774614
Test,LightGBM,"language_metric,keywords_metric",0.4043321299638989,0.7491638795986622,0.5252051582649473
Test,Neural Net,"language_metric,keywords_metric",0.646551724137931,0.2508361204013378,0.3614457831325301
CV,Logistic Regression,"language_metric,author_metric",0.4134675896790434,0.5497907949790795,0.47198275862068967
CV,Random Forest,"language_metric,author_metric",0.4119047619047619,0.43430962343096235,0.42281059063136456
CV,XGBoost,"language_metric,author_metric",0.36236766121270453,0.6301255230125523,0.46012832263978004
CV,LightGBM,"language_metric,author_metric",0.3757632691404415,0.6694560669456067,0.4813477737665463
